"url","id","parent","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/5.4","5.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","Parti costitutive di edifici","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/5.5","5.5","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","Infissi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/5.6","5.6","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","Arredi e impianti fissi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/6.0","6.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/6","Persone","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/6.1","6.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/6","Animali","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/6.2","6.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/6","Vegetali","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/7.0","7.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/7","Serbatoi per liquidi","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/7.1","7.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/7","Serbatoi per gas","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/7.2","7.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/7","Silos","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/7.3","7.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/7","Bombole","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/7.4","7.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/7","Contenitori","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/8.0","8.0","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/8","Parti meccaniche","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/8.1","8.1","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/8","Parti elettriche","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/8.2","8.2","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/8","Parti pneumatiche","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/8.3","8.3","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/8","Parti oleodinamiche","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/8.4","8.4","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/8","Parti termiche","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/agente/8.5","8.5","https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/8","Parti non altrove specificate","http://www.w3.org/2001/XMLSchema#integer","2"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/0","0","nan","Macchine","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/1","1","nan","Mezzi di sollevamento e trasporto","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/2","2","nan","Impianti di distribuzione","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/3","3","nan","Attrezzature, apparecchiature, attrezzi e utensili","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/4","4","nan","Materiali, sostanze, radiazioni","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/5","5","nan","Ambienti di lavoro","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/6","6","nan","Persone, animali e vegetali","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/7","7","nan","Recipienti e contenitori","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/agente_materiale/gruppo/8","8","nan","Parti di macchine, mezzi di sollevamento e trasporto","http://www.w3.org/2001/XMLSchema#integer","1"
